bResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,top,jungle,middle,adc,support
1,Irelia,RekSai,Ahri,Jinx,Janna,Gnar,Elise,Fizz,Sivir,Thresh,Irelia_Gnar,RekSai_Elise,Ahri_Fizz,Jinx_Sivir,Janna_Thresh
0,Gnar,Rengar,Ahri,Caitlyn,Leona,Irelia,JarvanIV,Azir,Corki,Annie,Gnar_Irelia,Rengar_JarvanIV,Ahri_Azir,Caitlyn_Corki,Leona_Annie
1,Renekton,Rengar,Fizz,Sivir,Annie,Sion,LeeSin,Azir,Corki,Janna,Renekton_Sion,Rengar_LeeSin,Fizz_Azir,Sivir_Corki,Annie_Janna
0,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Gnar,Nunu,Lulu,KogMaw,Janna,Irelia_Gnar,JarvanIV_Nunu,Leblanc_Lulu,Sivir_KogMaw,Thresh_Janna
1,Gnar,JarvanIV,Lissandra,Tristana,Janna,Sion,RekSai,Lulu,Corki,Annie,Gnar_Sion,JarvanIV_RekSai,Lissandra_Lulu,Tristana_Corki,Janna_Annie
0,Kassadin,Rengar,Leblanc,Sivir,Annie,Gnar,JarvanIV,Lulu,Corki,Thresh,Kassadin_Gnar,Rengar_JarvanIV,Leblanc_Lulu,Sivir_Corki,Annie_Thresh
1,Irelia,JarvanIV,Xerath,Corki,Janna,Renekton,LeeSin,Leblanc,Tristana,Nami,Irelia_Renekton,JarvanIV_LeeSin,Xerath_Leblanc,Corki_Tristana,Janna_Nami
1,Renekton,JarvanIV,Azir,Caitlyn,Annie,Rumble,Rengar,Leblanc,Sivir,Blitzcrank,Renekton_Rumble,JarvanIV_Rengar,Azir_Leblanc,Caitlyn_Sivir,Annie_Blitzcrank
0,Sion,RekSai,Orianna,KogMaw,Janna,Kassadin,Vi,Zed,Corki,Morgana,Sion_Kassadin,RekSai_Vi,Orianna_Zed,KogMaw_Corki,Janna_Morgana
1,Irelia,Nocturne,Orianna,Sivir,Nami,Gnar,Rengar,Leblanc,Graves,Morgana,Irelia_Gnar,Nocturne_Rengar,Orianna_Leblanc,Sivir_Graves,Nami_Morgana
1,Gnar,JarvanIV,Azir,Corki,Morgana,Lulu,LeeSin,Xerath,Ezreal,Janna,Gnar_Lulu,JarvanIV_LeeSin,Azir_Xerath,Corki_Ezreal,Morgana_Janna
1,Jax,JarvanIV,Kassadin,Graves,Morgana,Gnar,RekSai,Ahri,Corki,Thresh,Jax_Gnar,JarvanIV_RekSai,Kassadin_Ahri,Graves_Corki,Morgana_Thresh
1,Irelia,Vi,Lissandra,Kalista,Annie,Gnar,JarvanIV,Ahri,Sivir,Leona,Irelia_Gnar,Vi_JarvanIV,Lissandra_Ahri,Kalista_Sivir,Annie_Leona
0,Lulu,LeeSin,Xerath,Corki,Janna,Sion,JarvanIV,Cassiopeia,Kalista,Blitzcrank,Lulu_Sion,LeeSin_JarvanIV,Xerath_Cassiopeia,Corki_Kalista,Janna_Blitzcrank
1,Maokai,JarvanIV,Leblanc,Kalista,Annie,Lulu,Rengar,Morgana,Tristana,Janna,Maokai_Lulu,JarvanIV_Rengar,Leblanc_Morgana,Kalista_Tristana,Annie_Janna
1,Rumble,Vi,Zed,Caitlyn,Morgana,Gnar,RekSai,Leblanc,Corki,Janna,Rumble_Gnar,Vi_RekSai,Zed_Leblanc,Caitlyn_Corki,Morgana_Janna
0,Gnar,JarvanIV,Azir,KogMaw,Nami,Maokai,LeeSin,Zed,Sivir,Janna,Gnar_Maokai,JarvanIV_LeeSin,Azir_Zed,KogMaw_Sivir,Nami_Janna
1,Lissandra,JarvanIV,Xerath,Tristana,Morgana,Gnar,Nunu,Ahri,Caitlyn,Janna,Lissandra_Gnar,JarvanIV_Nunu,Xerath_Ahri,Tristana_Caitlyn,Morgana_Janna
1,Gnar,LeeSin,Leblanc,KogMaw,Nami,Malphite,JarvanIV,Orianna,Graves,Janna,Gnar_Malphite,LeeSin_JarvanIV,Leblanc_Orianna,KogMaw_Graves,Nami_Janna
0,Sion,Rengar,Ahri,Sivir,Janna,Lissandra,JarvanIV,Corki,Kalista,Thresh,Sion_Lissandra,Rengar_JarvanIV,Ahri_Corki,Sivir_Kalista,Janna_Thresh
0,Lulu,RekSai,Corki,Kalista,Morgana,Rumble,LeeSin,Ahri,Graves,Annie,Lulu_Rumble,RekSai_LeeSin,Corki_Ahri,Kalista_Graves,Morgana_Annie
1,Maokai,Vi,Kassadin,Graves,Annie,Irelia,JarvanIV,Corki,Sivir,Leona,Maokai_Irelia,Vi_JarvanIV,Kassadin_Corki,Graves_Sivir,Annie_Leona
0,RekSai,Vi,Azir,Corki,Thresh,Maokai,LeeSin,Xerath,Sivir,Morgana,RekSai_Maokai,Vi_LeeSin,Azir_Xerath,Corki_Sivir,Thresh_Morgana
1,Lissandra,RekSai,Xerath,Vayne,Nami,Sion,JarvanIV,Cassiopeia,Sivir,Morgana,Lissandra_Sion,RekSai_JarvanIV,Xerath_Cassiopeia,Vayne_Sivir,Nami_Morgana
0,Gnar,JarvanIV,Kassadin,Sivir,Janna,Irelia,Vi,Nidalee,Jinx,Morgana,Gnar_Irelia,JarvanIV_Vi,Kassadin_Nidalee,Sivir_Jinx,Janna_Morgana
1,Rumble,Vi,Leblanc,Graves,Morgana,Maokai,JarvanIV,Xerath,Lucian,Janna,Rumble_Maokai,Vi_JarvanIV,Leblanc_Xerath,Graves_Lucian,Morgana_Janna
1,Lissandra,LeeSin,Ezreal,Sivir,Alistar,Irelia,Vi,Azir,Corki,Janna,Lissandra_Irelia,LeeSin_Vi,Ezreal_Azir,Sivir_Corki,Alistar_Janna
0,Maokai,Vi,Ezreal,Vayne,Annie,Rumble,JarvanIV,Ahri,Sivir,Morgana,Maokai_Rumble,Vi_JarvanIV,Ezreal_Ahri,Vayne_Sivir,Annie_Morgana
1,Jax,RekSai,Lissandra,Graves,Morgana,Gnar,LeeSin,Lulu,Kalista,Annie,Jax_Gnar,RekSai_LeeSin,Lissandra_Lulu,Graves_Kalista,Morgana_Annie
1,Sion,Vi,Ahri,Jinx,Janna,Maokai,LeeSin,Yasuo,Graves,Morgana,Sion_Maokai,Vi_LeeSin,Ahri_Yasuo,Jinx_Graves,Janna_Morgana
0,Irelia,RekSai,Leblanc,Kalista,Thresh,Sion,JarvanIV,Nidalee,Jinx,Morgana,Irelia_Sion,RekSai_JarvanIV,Leblanc_Nidalee,Kalista_Jinx,Thresh_Morgana
1,Lissandra,Vi,Kassadin,Graves,Morgana,Maokai,RekSai,Ezreal,Sivir,Leona,Lissandra_Maokai,Vi_RekSai,Kassadin_Ezreal,Graves_Sivir,Morgana_Leona
0,Gnar,JarvanIV,Leblanc,Sivir,Thresh,Maokai,Nidalee,Zed,Kalista,Janna,Gnar_Maokai,JarvanIV_Nidalee,Leblanc_Zed,Sivir_Kalista,Thresh_Janna
0,Maokai,RekSai,Kassadin,Draven,Thresh,Rumble,JarvanIV,Ahri,Graves,Leona,Maokai_Rumble,RekSai_JarvanIV,Kassadin_Ahri,Draven_Graves,Thresh_Leona
0,Maokai,JarvanIV,Xerath,Graves,Braum,Lissandra,Vi,Zed,Sivir,Janna,Maokai_Lissandra,JarvanIV_Vi,Xerath_Zed,Graves_Sivir,Braum_Janna
1,Lissandra,RekSai,Ahri,Graves,Leona,Maokai,Vi,Kassadin,Lucian,Janna,Lissandra_Maokai,RekSai_Vi,Ahri_Kassadin,Graves_Lucian,Leona_Janna
1,Rumble,Vi,Lissandra,Jinx,Morgana,Gnar,JarvanIV,Xerath,Graves,Thresh,Rumble_Gnar,Vi_JarvanIV,Lissandra_Xerath,Jinx_Graves,Morgana_Thresh
0,Gnar,Vi,Lissandra,Corki,Janna,Sion,JarvanIV,Ahri,Sivir,Annie,Gnar_Sion,Vi_JarvanIV,Lissandra_Ahri,Corki_Sivir,Janna_Annie
1,Maokai,Vi,Zed,Graves,Thresh,Swain,JarvanIV,Azir,Tristana,Janna,Maokai_Swain,Vi_JarvanIV,Zed_Azir,Graves_Tristana,Thresh_Janna
1,Renekton,LeeSin,Kassadin,Corki,Annie,Maokai,Vi,Orianna,Sivir,Morgana,Renekton_Maokai,LeeSin_Vi,Kassadin_Orianna,Corki_Sivir,Annie_Morgana
0,Fizz,RekSai,Xerath,Jinx,Janna,Maokai,Vi,Leblanc,Graves,Annie,Fizz_Maokai,RekSai_Vi,Xerath_Leblanc,Jinx_Graves,Janna_Annie
0,Gnar,RekSai,Ahri,Graves,Annie,Maokai,Nunu,Kassadin,Sivir,Morgana,Gnar_Maokai,RekSai_Nunu,Ahri_Kassadin,Graves_Sivir,Annie_Morgana
1,Maokai,Nidalee,Zed,Corki,Veigar,DrMundo,LeeSin,Leblanc,Graves,Thresh,Maokai_DrMundo,Nidalee_LeeSin,Zed_Leblanc,Corki_Graves,Veigar_Thresh
0,Rumble,RekSai,Kassadin,Lucian,Morgana,Maokai,Vi,Ahri,Tristana,Braum,Rumble_Maokai,RekSai_Vi,Kassadin_Ahri,Lucian_Tristana,Morgana_Braum
1,Maokai,Vi,Ahri,Jinx,Janna,Kassadin,RekSai,Zed,Sivir,Blitzcrank,Maokai_Kassadin,Vi_RekSai,Ahri_Zed,Jinx_Sivir,Janna_Blitzcrank
1,Rumble,RekSai,Zed,Corki,Braum,Maokai,JarvanIV,Ahri,Sivir,Thresh,Rumble_Maokai,RekSai_JarvanIV,Zed_Ahri,Corki_Sivir,Braum_Thresh
1,Irelia,RekSai,Lissandra,Corki,Annie,Rumble,JarvanIV,Cassiopeia,Jinx,Janna,Irelia_Rumble,RekSai_JarvanIV,Lissandra_Cassiopeia,Corki_Jinx,Annie_Janna
0,Sion,RekSai,Ahri,Graves,Janna,Renekton,JarvanIV,Kassadin,Sivir,Thresh,Sion_Renekton,RekSai_JarvanIV,Ahri_Kassadin,Graves_Sivir,Janna_Thresh
0,Maokai,RekSai,Ahri,Graves,Janna,Irelia,JarvanIV,Leblanc,Sivir,Thresh,Maokai_Irelia,RekSai_JarvanIV,Ahri_Leblanc,Graves_Sivir,Janna_Thresh
1,Morgana,RekSai,Lulu,Sivir,Janna,DrMundo,Nunu,Zed,Corki,Braum,Morgana_DrMundo,RekSai_Nunu,Lulu_Zed,Sivir_Corki,Janna_Braum
0,Gnar,JarvanIV,Syndra,Graves,Morgana,Maokai,RekSai,Zed,Corki,Braum,Gnar_Maokai,JarvanIV_RekSai,Syndra_Zed,Graves_Corki,Morgana_Braum
1,Fizz,RekSai,Leblanc,Graves,Nami,Maokai,JarvanIV,Ezreal,Corki,Janna,Fizz_Maokai,RekSai_JarvanIV,Leblanc_Ezreal,Graves_Corki,Nami_Janna
1,Kennen,RekSai,Lissandra,Corki,Braum,Hecarim,Nidalee,Viktor,Graves,Morgana,Kennen_Hecarim,RekSai_Nidalee,Lissandra_Viktor,Corki_Graves,Braum_Morgana
1,Maokai,RekSai,Lissandra,Sivir,Janna,Renekton,Vi,Ezreal,Graves,Morgana,Maokai_Renekton,RekSai_Vi,Lissandra_Ezreal,Sivir_Graves,Janna_Morgana
1,Maokai,JarvanIV,Ezreal,Kalista,Thresh,Hecarim,RekSai,Kassadin,Corki,Janna,Maokai_Hecarim,JarvanIV_RekSai,Ezreal_Kassadin,Kalista_Corki,Thresh_Janna
1,Maokai,RekSai,Kassadin,Graves,Veigar,Rumble,Rengar,Ezreal,Corki,Annie,Maokai_Rumble,RekSai_Rengar,Kassadin_Ezreal,Graves_Corki,Veigar_Annie
1,Maokai,Nidalee,Zed,Corki,Morgana,Gnar,JarvanIV,Leblanc,Kalista,Thresh,Maokai_Gnar,Nidalee_JarvanIV,Zed_Leblanc,Corki_Kalista,Morgana_Thresh
1,Morgana,LeeSin,Kassadin,Graves,Leona,Irelia,RekSai,Leblanc,Corki,Annie,Morgana_Irelia,LeeSin_RekSai,Kassadin_Leblanc,Graves_Corki,Leona_Annie
0,Rumble,Nidalee,Ezreal,Tristana,Braum,Morgana,RekSai,Zed,Jinx,Janna,Rumble_Morgana,Nidalee_RekSai,Ezreal_Zed,Tristana_Jinx,Braum_Janna
1,Gragas,RekSai,Zed,Sivir,Morgana,Maokai,FiddleSticks,Ahri,Ezreal,Annie,Gragas_Maokai,RekSai_FiddleSticks,Zed_Ahri,Sivir_Ezreal,Morgana_Annie
1,Rumble,Vi,Ahri,Sivir,Annie,Kennen,LeeSin,Leblanc,Corki,Leona,Rumble_Kennen,Vi_LeeSin,Ahri_Leblanc,Sivir_Corki,Annie_Leona
0,Lissandra,Sejuani,Viktor,Graves,Janna,Hecarim,RekSai,Lulu,Jinx,Thresh,Lissandra_Hecarim,Sejuani_RekSai,Viktor_Lulu,Graves_Jinx,Janna_Thresh
0,Kennen,JarvanIV,Viktor,Corki,Leona,Lulu,RekSai,Zed,Sivir,Thresh,Kennen_Lulu,JarvanIV_RekSai,Viktor_Zed,Corki_Sivir,Leona_Thresh
